CaseId,Evaluation
200001,0
200002,0
200003,0
200004,0
200005,0
200006,0
200007,1
200008,0
200009,0
200010,0
200011,1
200012,0
200013,0
200014,0
200015,0
200016,1
200017,0
200018,0
200019,0
200020,0
200021,1
200022,0
200023,0
200024,0
200025,0
200026,0
200027,0
200028,0
200029,1
200030,0
200031,0
200032,1
200033,0
200034,0
200035,1
200036,1
200037,1
200038,0
200039,1
200040,1
200041,1
200042,0
200043,0
200044,0
200045,0
200046,0
200047,0
200048,0
200049,0
200050,0
200051,0
200052,0
200053,0
200054,0
200055,0
200056,0
200057,0
200058,0
200059,0
200060,1
200061,0
200062,1
200063,0
200064,1
200065,0
200066,0
200067,0
200068,0
200069,0
200070,0
200071,0
200072,0
200073,0
200074,1
200075,0
200076,0
200077,0
200078,1
200079,0
200080,0
200081,0
200082,0
200083,0
200084,1
200085,1
200086,0
200087,0
200088,0
200089,0
200090,0
200091,0
200092,1
200093,0
200094,0
200095,1
200096,1
200097,1
200098,0
200099,1
200100,0
200101,0
200102,1
200103,0
200104,0
200105,1
200106,0
200107,1
200108,1
200109,0
200110,0
200111,1
200112,1
200113,1
200114,0
200115,0
200116,0
200117,0
200118,0
200119,1
200120,0
200121,0
200122,0
200123,1
200124,1
200125,0
200126,1
200127,0
200128,0
200129,0
200130,0
200131,0
200132,0
200133,1
200134,0
200135,0
200136,0
200137,0
200138,0
200139,0
200140,0
200141,0
200142,0
200143,0
200144,0
200145,0
200146,0
200147,1
200148,0
200149,0
200150,0
200151,1
200152,0
200153,0
200154,0
200155,0
200156,0
200157,0
200158,0
200159,0
200160,0
200161,0
200162,0
200163,0
200164,0
200165,0
200166,0
200167,0
200168,0
200169,0
200170,0
200171,1
200172,0
200173,0
200174,0
200175,0
200176,1
200177,1
200178,0
200179,0
200180,1
200181,0
200182,0
200183,0
200184,0
200185,0
200186,0
200187,0
200188,0
200189,0
200190,0
200191,0
200192,1
200193,0
200194,0
200195,0
200196,0
200197,0
200198,0
200199,1
200200,1
200201,0
200202,0
200203,0
200204,0
200205,0
200206,0
200207,0
200208,1
200209,0
200210,1
200211,0
200212,0
200213,0
200214,0
200215,0
200216,0
200217,0
200218,0
200219,0
200220,0
200221,0
200222,0
200223,1
200224,0
200225,0
200226,0
200227,0
200228,0
200229,1
200230,1
200231,0
200232,1
200233,0
200234,0
200235,0
200236,0
200237,0
200238,0
200239,0
200240,0
200241,0
200242,0
200243,0
200244,1
200245,0
200246,0
200247,0
200248,0
200249,0
200250,0
200251,0
200252,0
200253,0
200254,0
200255,0
200256,0
200257,0
200258,0
200259,0
200260,1
200261,0
200262,0
200263,1
200264,0
200265,0
200266,0
200267,0
200268,0
200269,0
200270,1
200271,0
200272,1
200273,0
200274,0
200275,0
200276,1
200277,0
200278,0
200279,1
200280,0
200281,0
200282,0
200283,0
200284,1
200285,1
200286,1
200287,0
200288,0
200289,0
200290,0
200291,0
200292,1
200293,0
200294,1
200295,1
200296,1
200297,1
200298,0
200299,0
200300,0
200301,1
200302,1
200303,1
200304,0
200305,0
200306,0
200307,0
200308,0
200309,0
200310,0
200311,0
200312,0
200313,0
200314,0
200315,0
200316,0
200317,1
200318,0
200319,0
200320,0
200321,0
200322,0
200323,0
200324,0
200325,1
200326,1
200327,0
200328,1
200329,0
200330,0
200331,0
200332,0
200333,0
200334,1
200335,0
200336,0
200337,0
200338,0
200339,1
200340,0
200341,0
200342,0
200343,0
200344,0
200345,0
200346,0
200347,1
200348,0
200349,0
200350,1
200351,0
200352,1
200353,0
200354,0
200355,1
200356,0
200357,0
200358,0
200359,1
200360,0
200361,1
200362,0
200363,0
200364,0
200365,0
200366,1
200367,0
200368,1
200369,1
200370,0
200371,0
200372,0
200373,0
200374,1
200375,0
200376,0
200377,1
200378,0
200379,0
200380,0
200381,1
200382,0
200383,0
200384,0
200385,0
200386,1
200387,0
200388,1
200389,0
200390,0
200391,0
200392,1
200393,0
200394,0
200395,0
200396,1
200397,0
200398,0
200399,0
200400,0
200401,0
200402,0
200403,0
200404,0
200405,0
200406,1
200407,0
200408,0
200409,0
200410,0
200411,1
200412,0
200413,1
200414,1
200415,1
200416,0
200417,0
200418,0
200419,0
200420,0
200421,0
200422,0
200423,0
200424,0
200425,0
200426,1
200427,1
200428,0
200429,0
200430,0
200431,0
200432,1
200433,0
200434,0
200435,0
200436,0
200437,1
200438,0
200439,0
200440,0
200441,1
200442,1
200443,0
200444,1
200445,0
200446,0
200447,0
200448,0
200449,0
200450,0
200451,0
200452,0
200453,0
200454,0
200455,0
200456,1
200457,0
200458,0
200459,1
200460,0
200461,0
200462,0
200463,0
200464,1
200465,1
200466,0
200467,0
200468,0
200469,0
200470,0
200471,0
200472,1
200473,0
200474,0
200475,0
200476,0
200477,1
200478,0
200479,1
200480,0
200481,0
200482,0
200483,0
200484,0
200485,1
200486,1
200487,0
200488,1
200489,0
200490,1
200491,1
200492,0
200493,0
200494,0
200495,0
200496,0
200497,0
200498,0
200499,0
200500,0
200501,0
200502,0
200503,0
200504,0
200505,0
200506,1
200507,0
200508,0
200509,1
200510,0
200511,0
200512,0
200513,1
200514,0
200515,0
200516,0
200517,0
200518,1
200519,0
200520,0
200521,0
200522,0
200523,0
200524,0
200525,1
200526,0
200527,1
200528,1
200529,0
200530,0
200531,0
200532,0
200533,0
200534,0
200535,0
200536,0
200537,0
200538,0
200539,0
200540,1
200541,0
200542,0
200543,0
200544,0
200545,0
200546,0
200547,0
200548,0
200549,0
200550,0
200551,0
200552,1
200553,1
200554,0
200555,0
200556,0
200557,0
200558,0
200559,1
200560,0
200561,0
200562,0
200563,0
200564,1
200565,0
200566,0
200567,1
200568,0
200569,0
200570,0
200571,0
200572,0
200573,0
200574,0
200575,0
200576,0
200577,0
200578,1
200579,1
200580,1
200581,0
200582,1
200583,0
200584,1
200585,1
200586,0
200587,1
200588,0
200589,1
200590,0
200591,0
200592,0
200593,0
200594,0
200595,0
200596,0
200597,0
200598,0
200599,0
200600,0
200601,0
200602,0
200603,0
200604,0
200605,0
200606,1
200607,1
200608,0
200609,0
200610,1
200611,0
200612,0
200613,0
200614,1
200615,1
200616,1
200617,0
200618,1
200619,0
200620,1
200621,0
200622,0
200623,0
200624,1
200625,0
200626,1
200627,0
200628,0
200629,0
200630,0
200631,1
200632,0
200633,0
200634,0
200635,0
200636,0
200637,0
200638,1
200639,0
200640,0
200641,0
200642,0
200643,1
200644,0
200645,0
200646,1
200647,0
200648,0
200649,1
200650,0
200651,0
200652,0
200653,0
200654,0
200655,0
200656,1
200657,0
200658,0
200659,0
200660,0
200661,1
200662,0
200663,0
200664,0
200665,1
200666,0
200667,0
200668,0
200669,1
200670,1
200671,1
200672,0
200673,0
200674,0
200675,0
200676,0
200677,0
200678,1
200679,1
200680,0
200681,0
200682,0
200683,0
200684,0
200685,0
200686,0
200687,0
200688,1
200689,1
200690,0
200691,0
200692,1
200693,1
200694,1
200695,1
200696,1
200697,0
200698,0
200699,1
200700,0
200701,1
200702,0
200703,0
200704,0
200705,0
200706,0
200707,0
200708,0
200709,0
200710,0
200711,0
200712,0
200713,0
200714,1
200715,0
200716,1
200717,1
200718,0
200719,1
200720,0
200721,0
200722,0
200723,0
200724,1
200725,1
200726,0
200727,0
200728,0
200729,0
200730,0
200731,1
200732,1
200733,0
200734,0
200735,0
200736,0
200737,0
200738,0
200739,0
200740,0
200741,0
200742,0
200743,0
200744,0
200745,1
200746,0
200747,0
200748,0
200749,0
200750,0
200751,0
200752,1
200753,0
200754,0
200755,0
200756,0
200757,0
200758,0
200759,1
200760,0
200761,1
200762,0
200763,0
200764,0
200765,0
200766,0
200767,1
200768,0
200769,0
200770,0
200771,1
200772,1
200773,0
200774,1
200775,1
200776,0
200777,0
200778,0
200779,0
200780,1
200781,0
200782,0
200783,1
200784,0
200785,1
200786,1
200787,1
200788,0
200789,0
200790,1
200791,0
200792,0
200793,0
200794,1
200795,0
200796,0
200797,0
200798,0
200799,0
200800,0
200801,0
200802,0
200803,0
200804,0
200805,1
200806,0
200807,0
200808,0
200809,1
200810,0
200811,0
200812,0
200813,0
200814,0
200815,1
200816,0
200817,0
200818,0
200819,0
200820,0
200821,0
200822,0
200823,0
200824,0
200825,0
200826,0
200827,0
200828,0
200829,0
200830,0
200831,1
200832,0
200833,0
200834,1
200835,0
200836,1
200837,0
200838,0
200839,1
200840,1
200841,0
200842,0
200843,0
200844,0
200845,1
200846,0
200847,0
200848,1
200849,0
200850,1
200851,0
200852,1
200853,0
200854,0
200855,0
200856,0
200857,0
200858,1
200859,0
200860,0
200861,0
200862,1
200863,0
200864,0
200865,0
200866,0
200867,0
200868,0
200869,0
200870,0
200871,0
200872,0
200873,0
200874,0
200875,0
200876,0
200877,0
200878,1
200879,1
200880,0
200881,0
200882,0
200883,1
200884,0
200885,0
200886,0
200887,0
200888,0
200889,0
200890,0
200891,0
200892,0
200893,0
200894,1
200895,0
200896,0
200897,1
200898,0
200899,1
200900,0
200901,0
200902,0
200903,1
200904,0
200905,0
200906,0
200907,0
200908,0
200909,0
200910,0
200911,0
200912,0
200913,0
200914,0
200915,0
200916,0
200917,0
200918,0
200919,0
200920,0
200921,0
200922,0
200923,0
200924,0
200925,0
200926,0
200927,0
200928,0
200929,0
200930,1
200931,1
200932,0
200933,0
200934,0
200935,0
200936,1
200937,1
200938,1
200939,0
200940,0
200941,1
200942,1
200943,1
200944,1
200945,1
200946,0
200947,1
200948,0
200949,0
200950,0
200951,1
200952,0
200953,0
200954,1
200955,0
200956,0
200957,1
200958,0
200959,0
200960,0
200961,0
200962,0
200963,0
200964,0
200965,0
200966,0
200967,0
200968,0
200969,0
200970,0
200971,0
200972,0
200973,1
200974,0
200975,0
200976,0
200977,0
200978,1
200979,0
200980,0
200981,0
200982,0
200983,1
200984,0
200985,1
200986,1
200987,0
200988,0
200989,0
200990,0
200991,1
200992,1
200993,1
200994,0
200995,0
200996,1
200997,0
200998,0
200999,0
201000,1
201001,0
201002,0
201003,0
201004,1
201005,0
201006,0
201007,0
201008,0
201009,0
201010,0
201011,0
201012,0
201013,1
201014,0
201015,1
201016,1
201017,1
201018,1
201019,0
201020,0
201021,0
201022,1
201023,1
201024,1
201025,0
201026,1
201027,0
201028,0
201029,0
201030,1
201031,0
201032,0
201033,0
201034,1
201035,0
201036,0
201037,0
201038,1
201039,0
201040,0
201041,0
201042,0
201043,0
201044,1
201045,1
201046,1
201047,0
201048,1
201049,0
201050,0
201051,1
201052,0
201053,0
201054,0
201055,0
201056,0
201057,0
201058,0
201059,0
201060,0
201061,1
201062,0
201063,0
201064,1
201065,0
201066,1
201067,0
201068,0
201069,1
201070,0
201071,0
201072,0
201073,0
201074,0
201075,1
201076,1
201077,0
201078,0
201079,0
201080,0
201081,0
201082,0
201083,1
201084,0
201085,0
201086,0
201087,1
201088,0
201089,0
201090,0
201091,0
201092,0
201093,0
201094,0
201095,0
201096,0
201097,0
201098,0
201099,0
201100,0
201101,0
201102,0
201103,0
201104,0
201105,0
201106,0
201107,1
201108,1
201109,0
201110,0
201111,0
201112,0
201113,0
201114,0
201115,0
201116,0
201117,0
201118,0
201119,1
201120,0
201121,1
201122,1
201123,0
201124,0
201125,0
201126,1
201127,0
201128,1
201129,0
201130,0
201131,0
201132,0
201133,0
201134,1
201135,0
201136,0
201137,1
201138,1
201139,0
201140,0
201141,0
201142,0
201143,0
201144,0
201145,0
201146,1
201147,0
201148,0
201149,0
201150,0
201151,0
201152,0
201153,0
201154,0
201155,0
201156,1
201157,0
201158,0
201159,0
201160,0
201161,0
201162,1
201163,0
201164,0
201165,0
201166,0
201167,0
201168,0
201169,0
201170,0
201171,0
201172,1
201173,0
201174,0
201175,0
201176,0
201177,1
201178,0
201179,0
201180,1
201181,0
201182,0
201183,0
201184,0
201185,0
201186,0
201187,0
201188,1
201189,0
201190,0
201191,0
201192,0
201193,1
201194,0
201195,0
201196,0
201197,0
201198,0
201199,0
201200,0
201201,1
201202,0
201203,0
201204,0
201205,0
201206,0
201207,1
201208,0
201209,1
201210,0
201211,0
201212,0
201213,0
201214,0
201215,0
201216,0
201217,0
201218,0
201219,0
201220,0
201221,1
201222,0
201223,0
201224,0
201225,0
201226,0
201227,1
201228,0
201229,1
201230,0
201231,0
201232,0
201233,0
201234,0
201235,0
201236,0
201237,0
201238,0
201239,0
201240,0
201241,0
201242,0
201243,0
201244,0
201245,0
201246,0
201247,0
201248,0
201249,0
201250,0
201251,0
201252,0
201253,0
201254,1
201255,0
201256,0
201257,1
201258,0
201259,1
201260,0
201261,0
201262,0
201263,1
201264,0
201265,0
201266,1
201267,1
201268,0
201269,0
201270,0
201271,0
201272,0
201273,0
201274,1
201275,0
201276,1
201277,0
201278,0
201279,1
201280,0
201281,0
201282,0
201283,0
201284,1
201285,0
201286,1
201287,0
201288,0
201289,1
201290,1
201291,0
201292,0
201293,0
201294,0
201295,0
201296,0
201297,0
201298,0
201299,0
201300,0
201301,0
201302,1
201303,0
201304,1
201305,0
201306,0
201307,0
201308,0
201309,0
201310,1
201311,0
201312,0
201313,0
201314,0
201315,0
201316,1
201317,0
201318,0
201319,0
201320,0
201321,0
201322,0
201323,0
201324,0
201325,1
201326,0
201327,0
201328,1
201329,0
201330,0
201331,1
201332,1
201333,1
201334,0
201335,0
201336,0
201337,0
201338,0
201339,0
201340,0
201341,0
201342,0
201343,1
201344,0
201345,0
201346,0
201347,0
201348,0
201349,0
201350,0
201351,1
201352,1
201353,1
201354,1
201355,0
201356,0
201357,0
201358,0
201359,0
201360,0
201361,0
201362,1
201363,1
201364,0
201365,0
201366,0
201367,0
201368,0
201369,1
